"Participant_ID","Accuracy","AccuracyAtLeast75","AccuracyAtLeast90","Age","Sex","Education","Trial","Cue","Flanker","RT","Visual_Acuity"
3,1,1,1,77,"Female",6,11,"SPATIAL","INCONGRUENT",669,1
3,1,1,1,77,"Female",6,73,"DOUBLE","CONGRUENT",547,1
3,1,1,1,77,"Female",6,1,"SPATIAL","CONGRUENT",834,1
3,1,1,1,77,"Female",6,9,"SPATIAL","CONGRUENT",648,1
3,1,1,1,77,"Female",6,42,"DOUBLE","INCONGRUENT",657,1
3,1,1,1,77,"Female",6,71,"NOCUE","INCONGRUENT",879,1
3,1,1,1,77,"Female",6,74,"CENTRAL","CONGRUENT",776,1
3,1,1,1,77,"Female",6,82,"NOCUE","CONGRUENT",941,1
3,1,1,1,77,"Female",6,67,"CENTRAL","CONGRUENT",777,1
3,1,1,1,77,"Female",6,24,"SPATIAL","INCONGRUENT",605,1
3,1,1,1,77,"Female",6,61,"CENTRAL","CONGRUENT",687,1
3,1,1,1,77,"Female",6,92,"DOUBLE","CONGRUENT",680,1
3,1,1,1,77,"Female",6,27,"DOUBLE","INCONGRUENT",750,1
3,1,1,1,77,"Female",6,64,"NOCUE","CONGRUENT",703,1
3,1,1,1,77,"Female",6,70,"NOCUE","CONGRUENT",609,1
3,1,1,1,77,"Female",6,21,"CENTRAL","INCONGRUENT",773,1
3,1,1,1,77,"Female",6,59,"DOUBLE","INCONGRUENT",784,1
3,1,1,1,77,"Female",6,8,"SPATIAL","CONGRUENT",566,1
3,1,1,1,77,"Female",6,78,"DOUBLE","CONGRUENT",674,1
4,1,1,1,76,"Female",0,8,"NOCUE","CONGRUENT",638,0.4
4,1,1,1,76,"Female",0,10,"NOCUE","INCONGRUENT",937,0.4
4,1,1,1,76,"Female",0,82,"NOCUE","CONGRUENT",794,0.4
4,1,1,1,76,"Female",0,46,"SPATIAL","CONGRUENT",600,0.4
4,1,1,1,76,"Female",0,22,"SPATIAL","INCONGRUENT",570,0.4
4,1,1,1,76,"Female",0,36,"NOCUE","INCONGRUENT",695,0.4
4,1,1,1,76,"Female",0,43,"CENTRAL","INCONGRUENT",901,0.4
4,1,1,1,76,"Female",0,3,"CENTRAL","CONGRUENT",978,0.4
4,1,1,1,76,"Female",0,81,"DOUBLE","CONGRUENT",788,0.4
4,1,1,1,76,"Female",0,37,"CENTRAL","CONGRUENT",481,0.4
4,1,1,1,76,"Female",0,89,"DOUBLE","INCONGRUENT",692,0.4
4,1,1,1,76,"Female",0,41,"NOCUE","CONGRUENT",494,0.4
4,1,1,1,76,"Female",0,39,"NOCUE","INCONGRUENT",633,0.4
4,1,1,1,76,"Female",0,70,"SPATIAL","CONGRUENT",582,0.4
4,1,1,1,76,"Female",0,53,"SPATIAL","INCONGRUENT",477,0.4
4,1,1,1,76,"Female",0,17,"DOUBLE","INCONGRUENT",815,0.4
4,1,1,1,76,"Female",0,75,"DOUBLE","INCONGRUENT",684,0.4
4,1,1,1,76,"Female",0,48,"SPATIAL","INCONGRUENT",776,0.4
4,1,1,1,76,"Female",0,34,"CENTRAL","CONGRUENT",714,0.4
4,1,1,1,76,"Female",0,30,"CENTRAL","INCONGRUENT",614,0.4
4,1,1,1,76,"Female",0,73,"SPATIAL","INCONGRUENT",787,0.4
4,1,1,1,76,"Female",0,26,"NOCUE","INCONGRUENT",637,0.4
4,1,1,1,76,"Female",0,11,"NOCUE","CONGRUENT",806,0.4
4,1,1,1,76,"Female",0,4,"NOCUE","INCONGRUENT",676,0.4
4,1,1,1,76,"Female",0,58,"SPATIAL","INCONGRUENT",811,0.4
4,1,1,1,76,"Female",0,32,"NOCUE","INCONGRUENT",618,0.4
4,1,1,1,76,"Female",0,64,"SPATIAL","CONGRUENT",816,0.4
4,1,1,1,76,"Female",0,59,"DOUBLE","CONGRUENT",676,0.4
4,1,1,1,76,"Female",0,24,"CENTRAL","INCONGRUENT",692,0.4
4,1,1,1,76,"Female",0,28,"DOUBLE","CONGRUENT",606,0.4
4,1,1,1,76,"Female",0,16,"NOCUE","CONGRUENT",606,0.4
4,1,1,1,76,"Female",0,74,"CENTRAL","INCONGRUENT",727,0.4
4,1,1,1,76,"Female",0,90,"DOUBLE","CONGRUENT",666,0.4
4,1,1,1,76,"Female",0,6,"DOUBLE","CONGRUENT",758,0.4
